dealDate,deposit,monthlyRent,calcedRent,aptNm,buildYear,contractTerm,contractType,excluUseAr,floor,jibun,preDeposit,preMonthlyRent,sggCd,umdNm,useRRRight
20240821,"73,600",12,0,힐스테이트신촌,2020,24.09~26.09,갱신,84.9154,9,1017,"70,000",12,11410,북아현동, 
20240821,"10,012",24,0,래미안루센티아,2020,.~26.08,신규,34.12,10,390,,,11410,남가좌동, 
20240821,"35,000",0,0,홍제한양,1993,24.11~26.11,신규,60.06,1,82,,,11410,홍제동, 
20240821,"68,000",0,0,DMC파크뷰자이1단지,2015,24.10~26.10,신규,59.977,17,385,,,11410,남가좌동, 
20240821,"71,500",0,0,DMC파크뷰자이2단지,2015,24.10~26.10,신규,84.99,1,385,,,11410,남가좌동, 
20240821,"59,000",0,0,DMC금호리첸시아,2024,24.10~26.10,갱신,59.8295,10,396,"57,000",,11410,남가좌동,사용
20240821,"4,034",2,0,남가좌동현대(임대),1999,.~26.08,신규,32.76,9,376-2,,,11410,남가좌동, 
20240821,"10,012",24,0,래미안루센티아,2020,.~26.08,신규,34.12,9,390,,,11410,남가좌동, 
20240821,"7,162",28,0,더스타일하우스디센트럴,2020,24.10~26.10,신규,35.8514,17,480,,,11410,충정로3가, 
20240821,"63,000",0,0,힐스테이트신촌,2020,24.10~26.10,신규,52.8449,19,1017,,,11410,북아현동, 
20240821,"36,000",0,0,극동,1995,24.10~26.10,신규,84.98,4,454,,,11410,홍은동, 
20240821,"100,000",0,0,신촌푸르지오,2015,24.09~26.01,갱신,109.0901,4,1011,"73,500",,11410,북아현동, 
20240821,"2,008",8,0,더스타일하우스디센트럴,2020,24.09~26.10,신규,17.6626,24,480,,,11410,충정로3가, 
20240821,"88,000",0,0,북한산더샵,2017,24.09~26.04,신규,114.62,15,464,,,11410,홍은동, 
20240822,"50,000",0,0,청구1차,1994,24.10~26.10,신규,84.78,10,453,,,11410,홍제동, 
20240822,"10,000",250,0,DMC파크뷰자이1단지,2015,24.10~26.10,신규,84.971,25,385,,,11410,남가좌동, 
